LIST OF WW2 SHIPS					
https://military-history.fandom.com/wiki/List_of_World_War_II_ships					
					
ID	Ship	Country	Type	Produksi	Fate
1193	Tattnall	USA	Wickes class destroyer	26 June 1919	Decommissioned 17 December 1945
1194	Taylor	USA	Fletcher class destroyer	28 August 1942	Decommissioned 31 May 1946
1195	Tennessee	USA	Tennessee-class battleship	3 June 1920	Decommissioned 14 February 1947, scrapped 1959
1196	Tenry?	Empire of Japan	Tenry?-class light cruiser	20 November 1919	Sunk 18 December 1942
1197	Teruzuki	Empire of Japan	Akizuki class destroyer	11 June 1942	sunk 12 December 1942
1198	Terror	UK	Erebus class monitor	6 August 1916	Sunk 24 February 1941
1199	Teviot	South Africa	River class frigate	10 June 1945  (former HMS Teviot)	Returned to Royal Navy Jan 1946, scrapped Mar 1955
1200	Texas	USA	New York-class battleship	12 March 1914	"Decommissioned 21 April 1948; memorial San Jacinto, Texas"
1201	Thane	UK	Ruler class escort aircraft carrier	19 November 1943 (former USS Sunset)	Returned to USN 15 December 1945, scrapped 1946
1202	Themistocles	Greece	Hunt (Type II) class escort destroyer	Mar 1943 (former HMS Bramham)	returned to Royal Navy 12 November 1959, scrapped 1960
1203	Theodor Riedel	Nazi Germany	Type 1934A destroyer	2 July 1937	Ceded to UK, then to France Feb 1946, renamed Kleber, scrapped 1958
1204	Thompson	USA	Gleaves class destroyer	10 July 1943	decommissioned 1954, scrapped 1972
1205	Thor	Nazi Germany	Auxiliary cruiser	15 March 1940	accidentally burnt 30 November 1942
1206	Thorn	USA	Gleaves class destroyer	1 April 1943	decommissioned 1946, sunk as target 1974
1207	Ticonderoga	USA	Essex-class aircraft carrier	8 May 1944	decommissioned 1 September 1973, scrapped 1975
1208	Tiger	Nazi Germany	1924 Raubtier class torpedo boat	15 January 1929	wrecked in collision with the Max Schultz 25 August 1939
1209	Tillman	USA	Gleaves class destroyer	4 June 1942	decommissioned 1947, scrapped 1972
1210	Tirpitz	Nazi Germany	Bismarck-class battleship	25 February 1941	sunk 12 November 1944
1211	Togo	Nazi Germany	Night fighter direction vessel	13 August 1938	ran aground 21 November 1984
1212	Tokiwa	Empire of Japan	Asama-class armored cruiser	18 May 1899	Sunk 9 August 1945
1213	Tone	Empire of Japan	Tone class heavy cruiser	30 November 1938	Sunk 14 July 1945
1214	Tonkinois	Free French	River class frigate	15 October 1944 (former HMS Moyola)	Decommissioned 1961
1215	Topeka	USA	Cleveland class light cruiser	23 December 1944	converted to missile cruiser 1960, scrapped 1975
1216	Tordenskjold, later Nymphe	Norway,then  Nazi Germany	Coastal defence ship	21 March 1898	captured by the Germans 9 April 1940, renamed Nymphe, returned to Norway post war, scrapped 1948
1217	Tourville	France Free French	Duquesne class heavy cruiser	1 December 1928	condemned 1962
1218	Tracker	UK	Ruler class escort aircraft carrier	31 January 1943	Returned to USN 29 November 1945, sold into merchant service as Corrientes
1219	Transylvania	UK	Armed merchant cruiser	5 October 1939	Torpedoed and sunk by U-56,10 August 1940
1220	Transvaal	South Africa	Loch class frigate	21 May 1945	Decommissioned 14 August 1964, and sunk as artificial reef
1221	Trento	Kingdom of Italy	Trento class heavy cruiser	1929	sunk 14 June 1942
1222	Trenton	USA	Omaha class light cruiser	19 April 1924	scrapped 1946
1223	Trieste	Kingdom of Italy	Trento class heavy cruiser	1928	sunk 1943
1224	Trinidad	UK	Fiji class cruiser	14 October 1941	sunk 15 May 1942
1225	Trippe	USA	Benham class destroyer	1 November 1939	scuttled after A-bomb test 1948
1226	Tromp	Netherlands	Tromp class cruiser	18 August 1938	decommissioned 1955
1227	Trouncer	UK	Ruler class escort aircraft carrier	31 January 1944 (former USS Perdido)	Returned to USN 3 March 1946, sold into merchant service as Greystoke Castle
1228	Trumpeter	UK	Ruler class escort aircraft carrier	4 August 1943 (former USS Bastian)	Returned to USN 6 April 1946, sold into merchant service as Alblasserdijk
1229	Tucker	USA	Mahan class destroyer	23 July 1936	sunk 4 August 1942
1230	Tucuman	Argentina	Mendoza class destroyer		Discarded 30 April 1962
1231	Tucson	USA	Atlanta class light cruiser	3 February 1945	scrapped 1971
1232	Turner	USA	Gleaves class destroyer	15 April 1943	exploded 3 January 1944
1233	Tuscaloosa	USA	New Orleans class heavy cruiser	17 August 1934	Decommissioned 13 February 1946, scrapped 1959
1234	Tsingtau	Nazi Germany	Supply escort and Schnellboot tender	24 September 1934	Feb 1950
1235	Tung Chi	Republic of China (1912–1949)	gunship		Sunk 11 August 1937
1236	Tunisien	Free French	Cannon class destroyer escort	11 February 1944 (former USS Crosley)	Decommissioned May 1964
1237	Tunsberg Castle	Norway	Castle-class corvette	17 April 1944 (former HMS Shrewsbury Castle)	Sunk 12 December 1944
1238	U-37	Nazi Germany	Type IX		
1239	U-38	Nazi Germany	Type IX		
1240	U-39	Nazi Germany	Type IX		
1241	U-40	Nazi Germany	Type IX		U-877 sunk by HMCS St. Thomas on 27 December 1944. All 56 members saved by crew of the St. Thomas.[11]
1242	U-41	Nazi Germany	Type IX		
1243	U-42	Nazi Germany	Type IX		
1244	U-43	Nazi Germany	Type IX		
1245	Uganda	UK	Fiji-class light cruiser	21 October 1944	transferred to RCN as HMCS Uganda 21 October 1944, renamed HMCS Quebec 14 January 1952, scrapped 1961
1246	Underhill	USA	Buckley-class destroyer escort	15 November 1943	sunk 24 July 1945
1247	Unicorn	UK	maintenance aircraft carrier	12 March 1943	scrapped 1960
1248	Unry?	Empire of Japan	Unry?-class aircraft carrier	6 August 1944	sunk 19 December 1944
1249	Uny?	Empire of Japan	escort aircraft carrier	31 August 1942 (ex-merchant Yawata Maru)	Sunk 15 September 1944
1250	Utah	USA	Florida-class battleship	31 August 1911	sunk 7 December 1941
1251	Valiant	UK	Queen Elizabeth-class battleship	5857	scrapped 1950
1252	Van Galen	Netherlands	Admiralen-class destroyer	10644	Sunk 10 May 1940
1253	Van Ghent	Netherlands	Admiralen-class destroyer	10379	Ran aground and was scuttled 15 February 1942
1254	Vasilefs Georgios	Greece	modified G-class destroyer	14291	captured, became ZG3 Hermes (Germany) 21 March 1942, scuttled 7 May 1943
1255	Vasilissa Olga	Greece	modified G-class destroyer	14277	sunk 26 September 1943
1256	Veinticinco de Mayo	Argentina	Veinticinco de Mayo-class cruiser	11522	scrapped 1962
1257	Venerable	UK	Colossus-class aircraft carrier	16454	sold to Netherlands 1 April 1948, renamed Karel Doorman
1258	Vengeance	UK	Colossus-class aircraft carrier	16452	loaned to Australia 13 November 1952, sold to Brazil 12 December 1956, renamed Minas Gerais
1259	Venus	UK	V-class destroyer	15946	scrapped 1972
1260	Verulam	UK	V-class destroyer	16050	scrapped 1972
1261	Vicksburg	USA	Cleveland-class light cruiser	16235	scrapped 1964
1262	Victorious	UK	Illustrious-class aircraft carrier	15125	scrapped 1969
1263	Videla	Chile	Serrano-class destroyer		Discarded 1960
1264	Vincennes (CA-44)	USA	New Orleans-class heavy cruiser	13570	sunk 9 August 1942
1265	Vincennes (CL-64)	USA	Cleveland-class light cruiser	16092	sunk as target 1966
1266	Vindex	UK	Nairana-class escort carrier		sold 2 October 1947 & renamed Port Vindex
1267	Virago	UK	V-class destroyer	16015	scrapped 1965
1268	Vittorio Veneto	Kingdom of Italy	Littorio-class battleship	14729	scrapped 1948
1269	Voroshilov	USSR	Kirov-class heavy cruiser	14782	scrapped 1960s
1270	Väinämöinen	Finland	coastal defence ship	11808	to Soviet Union 29 May 1947, renamed Vyborg, scrapped ca. 1968
1271	Wahoo	United States	Gato-class submarine	15476	Sunk 11 October 1943
1272	Wainwright	USA	Sims-class destroyer	14716	scuttled after A-bomb test 1948
1273	Walke	USA	Sims-class destroyer	14728	sunk 15 November 1942
1274	Ward	United States	Wickes-class destroyer	6780	Sunk 7 December 1944
1275	Warramunga	Australia	Tribal-class destroyer	15668	scrapped 1963
1276	Warrington	USA	Somers-class destroyer leader	13920	foundered in hurricane 13 September 1944
1277	Warspite	UK	Queen Elizabeth-class battleship	5546	scrapped 1950
1278	Washington	USA	North Carolina-class battleship	15111	Decommissioned 27 June 1947, scrapped 1960
1279	Wasp (CV-7)	USA	aircraft carrier	14726	sunk 15 September 1942
1280	Wasp (CV-18)	USA	Essex-class aircraft carrier	16034	decommissioned 1 July 1972 and scrapped
1281	Welles	USA	Gleaves-class destroyer	15934	decommissioned 1946, scrapped 1969
1282	Welshman	UK	Abdiel-class minelayer	15213	torpedoed 1 February 1943
1283	West Virginia	USA	Colorado-class battleship	8736	Decommissioned 9 January 1947, scrapped 1959
1284	Whaddon	UK	Hunt-class destroyer	15035	broken up April 1959
1285	Wicher	Poland	Wicher class destroyer	11152	sunk 3 September 1939
1286	Wichita	USA	Wichita class heavy cruiser	14292	decommissioned 1947, scrapped 1959
1287	Widder	Nazi Germany	Auxiliary cruiser	14579	became repair ship Neumark 1941
1288	Wiley	USA	Fletcher class	16490	decommissioned 9 August 1946
1289	Wilkes	USA	Gleaves class destroyer	15088	decommissioned 1946, scrapped 1972
1290	Wilkes-Barre	USA	Cleveland class light cruiser	16254	sunk as target 1972
1291	Wilhelm Heidkamp	Nazi Germany	Type 1936 destroyer	14406	sunk 10 April 1940
1292	Wilson	USA	Benham class destroyer	14431	scuttled after A-bomb test 1948
1293	Winslow	USA	Porter class destroyer leader	13563	scrapped 1959
1294	Wisconsin	USA	Iowa-class battleship	16178	"decommissioned 1958, recommissioned 1988, decommissioned 30 September 1991; museum ship Norfolk, Virginia"
1295	Wolf	Nazi Germany	1924 Raubtier class torpedo boat	10547	sunk 8 January 1941
1296	Wolfgang Zenker	Nazi Germany	Type 1934A destroyer	14063	scuttled 13 April 1940
1297	Woodworth	USA	Benson class destroyer	15461	to Italy 1951, scrapped 1971
1298	Woolsey	USA	Gleaves class destroyer	15103	decommissioned 1947, scrapped 1974
1299	Worden	USA	Farragut class destroyer	12799	sunk 12 January 1943
1300	Wrestler	UK	Admiralty W-class destroyer	6710	mined 6 June 1944, scrapped July 1944
1301	Yahagi	Empire of Japan	Agano-class light cruiser	29 December 1943	sunk 7 April 1945
1302	Yakov Sverdlov	USSR	Novik-class destroyer	1913 (as Novik, renamed Yakov Sverdlov 1923)	sunk 28 August 1941
1303	Yakumo	Empire of Japan	armored cruiser	20 June 1900	scrapped 1 April 1947
1304	Yamashiro	Empire of Japan	Fus?-class battleship	31 March 1917	sunk 25 October 1944
1305	Yamato	Empire of Japan	Yamato-class battleship	Dec 1941	sunk 7 April 1945
1306	Yat Sen	Republic of China (1912–1949)	gunboat		became Atada (Japan)
1307	Ying Swei	Republic of China (1912–1949)	Chao Ho-class cruiser	ca.1911	Sunk 25 October 1937
1308	Yorktown (CV-5)	USA	Yorktown-class aircraft carrier	30 September 1937	sunk 7 June 1942
1309	Yorktown (CV-10)	USA	Essex-class aircraft carrier	15 April 1943	decommissioned 27 June 1970, museum ship Charleston, South Carolina
1310	Yubari	Empire of Japan	light cruiser	1923	sunk 27 April 1944
1311	Yukikaze	Empire of Japan	Kagero-class destroyer	ca.1940	to China 1947, renamed Tan Yang
1312	Yura	Empire of Japan	Nagara-class light cruiser	1922	lost 25 October 1942
1313	Z23 - Z30	Nazi Germany	Type 1936A Narvik destroyer	1940/41	
1314	Z31 - Z34, Z37 - Z39	Nazi Germany	Type 1936A (Mob) destroyer	1942/43	
1315	Z35, Z36, Z43	Nazi Germany	Type 1936B destroyer	1943/44	
1316	Zara	Kingdom of Italy	Zara-class heavy cruiser	20 October 1931	sunk 29 March 1941
1317	Zuih?	Empire of Japan	Zuih?-class aircraft carrier	Jan 1941	sunk 25 October 1944
1318	Zuikaku	Empire of Japan	Sh?kaku-class aircraft carrier	25 September 1941	25 October 1944
1319	Zulu	UK	Tribal-class destroyer	7 September 1938	sunk 14 September 1942
